Index,Direction,Type,Format,Frame ID,Length,Datas(Hex),Status,Time
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:54.966.900
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:55.063.800
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:55.064.900
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 09 60 0E 8A 00 00 ,Success,00:00:55.065.900
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:55.066.900
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:55.163.800
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:55.165.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 96 00 00 ,Success,00:00:55.165.900
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:55.167.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:55.263.800
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:55.265.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 09 60 0E 8D 00 00 ,Success,00:00:55.266.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:55.267.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:55.363.900
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:55.365.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 8B 00 00 ,Success,00:00:55.366.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:55.367.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:55.463.900
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:55.465.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 09 60 0E 8D 00 00 ,Success,00:00:55.466.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:55.467.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:55.563.900
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:55.565.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 8D 00 00 ,Success,00:00:55.566.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:55.567.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:55.663.900
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:55.665.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 90 00 00 ,Success,00:00:55.666.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:55.667.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:55.763.900
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:55.765.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 09 60 0E 8A 00 00 ,Success,00:00:55.766.100
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:55.767.100
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:55.864.000
