Index,Direction,Type,Format,Frame ID,Length,Datas(Hex),Status,Time
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:08.074.500
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:08.171.400
CAN2,Receive,Extended,Data,0x0A010002,8,12 61 00 00 11 B6 00 00 ,Success,00:00:08.172.500
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 84 00 00 ,Success,00:00:08.173.500
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:08.174.500
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:08.271.400
CAN2,Receive,Extended,Data,0x0A010002,8,12 62 00 00 11 B6 00 00 ,Success,00:00:08.272.600
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 88 00 00 ,Success,00:00:08.273.600
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:08.274.600
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:08.371.500
CAN2,Receive,Extended,Data,0x0A010002,8,12 62 00 00 11 B7 00 00 ,Success,00:00:08.372.600
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 8A 00 00 ,Success,00:00:08.373.600
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:08.374.600
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:08.471.500
CAN2,Receive,Extended,Data,0x0A010002,8,12 62 00 00 11 B6 00 00 ,Success,00:00:08.472.600
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 8A 00 00 ,Success,00:00:08.473.600
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:08.474.600
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:08.571.500
CAN2,Receive,Extended,Data,0x0A010002,8,12 61 00 00 11 B7 00 00 ,Success,00:00:08.572.600
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 8B 00 00 ,Success,00:00:08.573.600
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:08.574.600
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:08.671.500
CAN2,Receive,Extended,Data,0x0A010002,8,12 61 00 00 11 B9 00 00 ,Success,00:00:08.672.600
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 81 00 00 ,Success,00:00:08.673.600
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:08.674.600
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:08.771.500
CAN2,Receive,Extended,Data,0x0A010002,8,12 62 00 00 11 B8 00 00 ,Success,00:00:08.772.700
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 8A 00 00 ,Success,00:00:08.773.700
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:08.774.700
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:08.871.600
CAN2,Receive,Extended,Data,0x0A010002,8,12 62 00 00 11 B9 00 00 ,Success,00:00:08.872.700
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 88 00 00 ,Success,00:00:08.873.700
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:08.874.700
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:08.971.600
CAN2,Receive,Extended,Data,0x0A010002,8,12 61 00 00 11 B7 00 00 ,Success,00:00:08.972.700
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 90 00 00 ,Success,00:00:08.973.700
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:08.974.700
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:09.071.600
